epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.9707,0.73284,2.40765,1.14278,0.76369,0.85801,0.86571,0.66608,0.52551,183.189,0.85379,0.00055258,0.00055258,0.00055258
2,118.288,0.77948,1.03977,1.15576,0.8024,0.70948,0.7415,0.59148,0.46515,28.14,0.76899,0.00099853,0.00099853,0.00099853
3,158.925,0.74593,0.6232,1.12427,0.78535,0.90139,0.85295,0.65748,0.49695,59.2682,0.82291,0.00133446,0.00133446,0.00133446
4,201.618,0.71932,0.52195,1.11124,0.95291,0.93857,0.97269,0.80328,0.41556,18.1006,0.73624,0.0011719,0.0011719,0.0011719
5,246.681,0.67115,0.45051,1.08373,0.97005,0.97134,0.98885,0.84475,0.37287,4.50956,0.71773,0.00100687,0.00100687,0.00100687
6,294.597,0.62683,0.38897,1.04705,0.99541,0.98588,0.99459,0.87434,0.33069,0.63281,0.69142,0.000841835,0.000841835,0.000841835
7,345.252,0.59792,0.35422,1.0345,0.9997,0.98176,0.99445,0.89556,0.29665,0.22166,0.66779,0.000676802,0.000676802,0.000676802
8,392.346,0.56104,0.32345,1.01345,0.99546,0.98023,0.99406,0.88659,0.31468,0.25874,0.66769,0.000511769,0.000511769,0.000511769
9,438.266,0.54461,0.29493,0.99601,0.99957,0.98532,0.99459,0.90393,0.28281,0.19084,0.66309,0.000346736,0.000346736,0.000346736
10,484.721,0.51217,0.27031,0.98178,0.99669,0.99153,0.9948,0.90859,0.25594,0.20897,0.65418,0.000181703,0.000181703,0.000181703
